Start,End,Open,High,Low,Close,Volume,Market Cap
01/06/2025,,,,,104709,,
01/05/2025,,,,,94237,,
01/04/2025,,,,,82461,,
01/03/2025,08/03/2025,84307.46,94808.02,81942.81,86832.99,87573795562,1.74E+12
01/02/2025,01/03/2025,102318,102760,78534.47,84501.01,63094371189,1.90E+12
01/01/2025,01/02/2025,93650.83,109079,90000.02,102391,72354252057,1.98E+12
01/12/2024,01/01/2025,96505.88,108239,91603.06,93647.01,97438810321,1.95E+12
01/11/2024,01/12/2024,70346.9,99498.52,66948.02,96436.01,93365743376,1.70E+12
01/10/2024,01/11/2024,63344,73534.9,59017,70340.01,75360927772,1.29E+12
01/09/2024,01/10/2024,58972.96,66380.99,52738,63290,1.03E+11,1.19E+12
01/08/2024,01/09/2024,64690.06,65535.99,49435.77,58965.98,1.12E+11,1.19E+12
01/07/2024,01/08/2024,62771.97,69947.98,53761.07,64665.98,1.00E+11,1.24E+12
01/06/2024,01/07/2024,67545.59,71968.03,58946.24,62849.53,94506286525,1.30E+12
01/05/2024,01/06/2024,60669.84,71739.14,56721.02,67576.21,1.05E+11,1.28E+12
01/04/2024,01/05/2024,71286.78,72724.2,59265.11,60761.95,1.24E+11,1.30E+12
01/03/2024,01/04/2024,61153.2,73628.43,60791.79,71216.98,77336543182,1.32E+12
01/02/2024,01/03/2024,42587.2,63699.03,41932.02,61256.01,45031142120,9.67E+11
01/01/2024,01/02/2024,42276.34,48853.77,38604.83,42611.24,56923802632,8.41E+11
01/12/2023,01/01/2024,37712.36,44614.01,37624.65,42224.09,35426636768,8.28E+11
01/11/2023,01/12/2023,34642.97,38378.84,34130.74,37715.02,71598585940,7.12E+11
01/10/2023,01/11/2023,26962.53,35096.27,26548.13,34650.03,46454660990,5.77E+11
01/09/2023,01/10/2023,25939.29,27461.08,25003.54,26967.11,31208641495,5.12E+11
01/08/2023,01/09/2023,29232.21,30127.05,25458.37,25936.45,41462953160,5.44E+11
01/07/2023,01/08/2023,30473.99,31706.1,28945.6,29225.93,45394156094,5.85E+11
01/06/2023,01/07/2023,27210.4,31392.97,24876.67,30492.03,47115263231,5.37E+11
01/05/2023,01/06/2023,29190.79,29780.05,25954.76,27225.77,39081269489,5.33E+11
01/04/2023,01/05/2023,28467.88285,30955.8686,27121.8,29310.54,39911584171,5.57E+11
01/03/2023,01/04/2023,23126.84311,29156.3807,19596.8698,28467.19663,55522024519,4.82E+11
01/02/2023,01/03/2023,23130.9161,25188.2965,21435.23949,23139.07679,65929479926,4.48E+11
01/01/2023,01/02/2023,16537.4542,23926.159,16507.3906,23153.2004,59386699524,3.85E+11
01/12/2022,01/01/2023,17165.41157,18329.45017,16366.3141,16538.3479,34950036294,3.26E+11
01/11/2022,01/12/2022,20495.70599,21461.07944,15598.4951,17188.63468,67562373176,3.41E+11
01/10/2022,01/11/2022,19424.06007,21003.55731,18290.6714,20504.46023,61711882646,3.76E+11
01/09/2022,01/10/2022,20053.474,22698.77167,18200.89554,19449.60774,66825321562,3.80E+11
01/08/2022,01/09/2022,23311.5556,25136.0173,19539.5807,20046.9471,60101340966,4.30E+11
01/07/2022,01/08/2022,19922.81905,24589.35357,18973.25187,23314.4296,66574934207,4.08E+11
01/06/2022,01/07/2022,31779.99955,31945.45942,17697.7025,19816.74636,60713676481,4.71E+11
01/05/2022,01/06/2022,37636.02142,39925.6099,26812.8459,31852.83438,68046927819,6.10E+11
01/04/2022,01/05/2022,45520.19684,47331.9547,37653.41243,37660.45292,68834646957,7.94E+11
01/03/2022,01/04/2022,43182.0054,48129.97387,37172.81813,45540.82639,63947640232,7.97E+11
01/02/2022,01/03/2022,38465.16237,45648.6513,34408.52933,43181.1437,64105666978,7.68E+11
01/01/2022,01/02/2022,46198.20378,47869.1107,33111.2351,38472.00624,74345941724,7.82E+11
01/12/2021,01/01/2022,56970.0072,58958.8099,44648.3469,46304.94959,86203528367,9.39E+11
01/11/2021,01/12/2021,61290.08156,68769.95537,53559.31318,57030.12565,81170969260,1.14E+12
01/10/2021,01/11/2021,43767.70377,66931.09229,43346.02043,61339.97564,86492149305,1.08E+12
01/09/2021,01/10/2021,47131.564,52871.6858,39870.47917,43797.5922,64687669548,8.67E+11
01/08/2021,01/09/2021,41582.55976,50444.79609,37462.4961,47225.2696,63704089212,8.53E+11
01/07/2021,01/08/2021,35019.70484,42278.66,29354.71,41700.99674,56500304579,6.42E+11
01/06/2021,01/07/2021,37271.48845,41267.29017,28899.97,35060.42897,66343208141,6.70E+11
01/05/2021,01/06/2021,57710.51331,59447.8705,31282.72037,37303.75009,98368691735,8.84E+11
01/04/2021,01/05/2021,58751.79059,64816.10187,47199.80667,57758.64693,1.17E+11,1.07E+12
01/03/2021,01/04/2021,45109.07003,61662.20596,45015.58423,58719.45437,1.09E+11,1.01E+12
01/02/2021,01/03/2021,33082.84377,58301.83149,32402.29413,44986.74483,1.26E+11,8.50E+11
01/01/2021,01/02/2021,28938.89689,41849.9064,28718.62179,33136.13947,1.13E+11,6.39E+11
01/12/2020,01/01/2021,19692.23392,29272.57805,17604.05012,28977.96182,62852011564,4.04E+11
01/11/2020,01/12/2020,13794.54858,19802.67892,13269.50531,19721.87473,46676159286,3.05E+11
01/10/2020,01/11/2020,10777.14188,13984.74925,10413.94089,13795.52655,25555738790,2.18E+11
01/09/2020,01/10/2020,11650.161,12044.02119,9893.738058,10766.81409,33588922073,1.98E+11
01/08/2020,01/09/2020,11336.03219,12394.34502,10983.14938,11655.9987,34169702768,2.15E+11
01/07/2020,01/08/2020,9136.040257,11425.72023,8957.5603,11334.58547,20650461135,1.76E+11
01/06/2020,01/07/2020,9454.105517,10232.61774,8942.42619,9145.560607,21777954898,1.74E+11
01/05/2020,01/06/2020,8629.225398,9995.180687,8303.339059,9449.860914,36376704373,1.69E+11
01/04/2020,01/05/2020,6419.060999,9425.798394,6176.881757,8607.329832,30170504013,1.31E+11
01/03/2020,01/04/2020,8550.541952,9167.919947,4003.591032,6431.262413,37084961388,1.27E+11
01/02/2020,01/03/2020,9345.862972,10458.55068,8477.509711,8569.467785,32670170784,1.74E+11
01/01/2020,01/02/2020,7196.614648,9554.568011,6891.532175,9336.132885,25026258015,1.50E+11
01/12/2019,01/01/2020,7551.709861,7664.109375,6455.524826,7202.624251,18341629316,1.31E+11
01/11/2019,01/12/2019,9147.03537,9465.447837,6583.225112,7548.613483,21313917341,1.51E+11
