Date,Gold_Price_$
2010-01-01,1123.6
2010-02-01,1159.6
2010-03-01,1154.3
2010-04-01,1223.2
2010-05-01,1260.3
2010-06-01,1290.0
2010-07-01,1224.3
2010-08-01,1294.3
2010-09-01,1355.7
2010-10-01,1405.6
2010-11-01,1435.2
2010-12-01,1470.2
2011-01-01,1376.9
2011-02-01,1459.6
2011-03-01,1482.9
2011-04-01,1615.4
2011-05-01,1585.8
2011-06-01,1547.6
2011-07-01,1678.0
2011-08-01,1883.6
2011-09-01,1675.9
2011-10-01,1773.4
2011-11-01,1803.1
2011-12-01,1611.2
2012-01-01,1794.6
2012-02-01,1741.6
2012-03-01,1718.3
2012-04-01,1716.1
2012-05-01,1607.0
2012-06-01,1645.1
2012-07-01,1658.9
2012-08-01,1740.5
2012-09-01,1822.1
2012-10-01,1768.1
2012-11-01,1760.7
2012-12-01,1717.2
2013-01-01,1708.7
2013-02-01,1621.8
2013-03-01,1636.6
2013-04-01,1513.7
2013-05-01,1419.3
2013-06-01,1262.5
2013-07-01,1356.8
2013-08-01,1426.8
2013-09-01,1358.9
2013-10-01,1353.6
2013-11-01,1279.4
2013-12-01,1230.7
2014-01-01,1273.1
2014-02-01,1352.6
2014-03-01,1310.2
2014-04-01,1316.5
2014-05-01,1276.2
2014-06-01,1356.8
2014-07-01,1308.0
2014-08-01,1313.3
2014-09-01,1231.7
2014-10-01,1194.6
2014-11-01,1188.3
2014-12-01,1204.2
2015-01-01,1308.0
2015-02-01,1231.7
2015-03-01,1205.2
2015-04-01,1203.1
2015-05-01,1209.5
2015-06-01,1191.4
2015-07-01,1111.9
2015-08-01,1153.3
2015-09-01,1133.1
2015-10-01,1158.6
2015-11-01,1080.1
2015-12-01,1075.9
2016-01-01,1133.1
2016-02-01,1257.2
2016-03-01,1246.6
2016-04-01,1311.2
2016-05-01,1230.7
2016-06-01,1340.9
2016-07-01,1367.4
2016-08-01,1322.9
2016-09-01,1331.4
2016-10-01,1292.1
2016-11-01,1185.1
2016-12-01,1161.8
2017-01-01,1225.4
2017-02-01,1263.5
2017-03-01,1258.2
2017-04-01,1280.5
2017-05-01,1278.4
2017-06-01,1250.8
2017-07-01,1280.5
2017-08-01,1333.5
2017-09-01,1289.0
2017-10-01,1279.4
2017-11-01,1283.7
2017-12-01,1311.2
2018-01-01,1353.6
2018-02-01,1325.0
2018-03-01,1333.5
2018-04-01,1320.8
2018-05-01,1304.9
2018-06-01,1258.2
2018-07-01,1229.6
2018-08-01,1203.1
2018-09-01,1195.7
2018-10-01,1221.1
2018-11-01,1224.3
2018-12-01,1284.7
2019-01-01,1322.9
2019-02-01,1314.4
2019-03-01,1293.2
2019-04-01,1284.7
2019-05-01,1307.0
2019-06-01,1411.9
2019-07-01,1411.9
2019-08-01,1524.3
2019-09-01,1472.3
2019-10-01,1509.4
2019-11-01,1461.7
2019-12-01,1514.7
2020-01-01,1582.6
2020-02-01,1573.0
2020-03-01,1569.9
2020-04-01,1683.3
2020-05-01,1726.7
2020-06-01,1774.4
2020-07-01,1965.2
2020-08-01,1958.9
2020-09-01,1877.3
2020-10-01,1867.7
2020-11-01,1767.0
2020-12-01,1891.0
2021-01-01,1829.6
2021-02-01,1715.1
2021-03-01,1696.0
2021-04-01,1756.4
2021-05-01,1891.0
2021-06-01,1755.4
2021-07-01,1799.9
2021-08-01,1798.8
2021-09-01,1740.5
2021-10-01,1766.0
2021-11-01,1754.3
2021-12-01,1812.6
2022-01-01,1781.9
2022-02-01,1891.0
2022-03-01,1914.4
2022-04-01,1875.1
2022-05-01,1813.7
2022-06-01,1786.1
2022-07-01,1739.5
2022-08-01,1688.6
2022-09-01,1639.8
2022-10-01,1610.1
2022-11-01,1746.9
2022-12-01,1797.8
2023-01-01,1901.6
2023-02-01,1799.9
2023-03-01,1941.9
2023-04-01,1958.9
2023-05-01,1932.4
2023-06-01,1890.0
2023-07-01,1933.4
2023-08-01,1908.0
2023-09-01,1816.8
2023-10-01,1951.5
2023-11-01,2001.3
2023-12-01,2026.7
2024-01-01,1997.0
2024-02-01,2006.6
2024-03-01,2180.4
2024-04-01,2246.1
2024-05-01,2282.2
2024-06-01,2279.0
2024-07-01,2402.0
2024-08-01,2451.8
2024-09-01,2576.9
2024-10-01,2687.1
2024-11-01,2603.4
2024-12-01,2566.3
2025-01-01,2741.2
2025-02-01,2791.0
2025-03-01,3053.9
2025-04-01,3220.3
2025-05-01,3218.2
2025-06-01,3305.1
